0,1,2,3,4
98.0,49785.44140625,60052.34765625,46866.546875,67685.3359375
99.0,49786.171875,60093.1640625,46777.62109375,68817.203125
100.0,49874.15234375,60305.02734375,46766.94140625,69810.3984375
101.0,49643.046875,60435.89453125,46971.5,67344.609375
102.0,49722.51171875,60339.08203125,46747.015625,68057.5234375
103.0,49546.1015625,61238.06640625,46769.45703125,67159.765625
104.0,51110.53125,60548.6484375,46766.96875,68492.2109375
105.0,49583.87109375,60175.3046875,47102.3046875,67344.171875
106.0,49525.53515625,60135.12890625,46771.40234375,67595.484375
107.0,49583.87109375,61702.09765625,46753.75,67054.765625
108.0,49647.30859375,60171.60546875,47142.453125,68623.3828125
109.0,49838.0078125,60328.62109375,46777.62109375,67361.8125
110.0,50031.67578125,60946.609375,46771.80859375,67677.9765625
111.0,51223.671875,60178.23828125,46746.234375,67414.1640625
112.0,49803.59765625,60094.94921875,46764.53515625,67704.3046875
113.0,49648.1484375,60110.25390625,46783.83984375,67306.0859375
114.0,49692.41796875,60288.5703125,46766.94140625,67218.8828125
115.0,50448.546875,60611.78515625,46768.56640625,67136.6796875
116.0,50909.18359375,60086.2734375,47511.69140625,69246.7421875
117.0,50094.6640625,60071.09765625,46787.05859375,67180.9375
118.0,49874.15234375,60052.21875,46753.75,67261.671875
119.0,49649.7734375,60044.3125,46733.25390625,67503.1328125
120.0,49803.59765625,60056.9375,46775.890625,67308.4375
121.0,49665.015625,60897.88671875,47205.52734375,67553.5703125
122.0,49551.76171875,60105.6640625,46738.609375,67888.8515625
123.0,49641.92578125,60171.60546875,46855.4609375,67136.6796875
124.0,49655.0390625,60155.91796875,46869.8984375,67835.03125
125.0,49706.65234375,60192.90625,49578.68359375,67334.0234375
126.0,49658.515625,60092.26953125,46774.4609375,67054.765625
127.0,51383.55078125,60292.26953125,46745.9375,69700.40625
128.0,49636.71484375,60435.89453125,46796.4140625,67294.7578125
129.0,50978.671875,60638.69921875,46758.3203125,67944.296875
130.0,49791.88671875,60192.3984375,46781.515625,67085.0625
131.0,50059.47265625,60192.90625,46747.015625,67501.3671875
132.0,49569.24609375,60052.34765625,46781.21875,67367.84375
133.0,49636.71484375,60305.79296875,46796.27734375,68623.3828125
134.0,49534.27734375,60118.80078125,46880.359375,67081.9765625
135.0,49635.5390625,60132.703125,46918.34765625,68886.171875
136.0,49625.5625,60610.2578125,46732.76953125,67285.0546875
137.0,49658.515625,60141.88671875,46775.37890625,67069.4765625
138.0,49643.046875,60273.39453125,46756.5078125,69246.7421875
139.0,49636.71484375,60246.60546875,46777.54296875,67218.8828125
140.0,50031.67578125,60395.203125,46848.86328125,67069.4765625
141.0,49781.96875,60187.16796875,46938.19140625,94869.6015625
142.0,49648.765625,60143.546875,46739.93359375,67503.1328125
143.0,49819.12109375,61662.046875,46743.53125,67136.6796875
144.0,50306.20703125,60443.41796875,46749.55859375,67294.7578125
145.0,49671.34765625,60391.6328125,46745.9375,67334.90625
146.0,50176.3671875,60150.3046875,46767.40234375,67821.9453125
147.0,49946.49609375,60042.90625,46788.546875,67244.7578125
148.0,49791.88671875,60068.1640625,46772.80859375,69224.6875
149.0,49658.515625,60130.7890625,46771.80859375,67503.1328125
150.0,49636.71484375,61179.390625,46743.53125,67904.1484375
151.0,49952.88671875,60693.9296875,46783.83984375,67223.5859375
152.0,49520.7734375,60092.26953125,46746.234375,67218.8828125
153.0,49621.08203125,60771.609375,46746.234375,68628.53125
154.0,49881.99609375,60671.9921875,46777.40625,67464.8984375
155.0,51007.4765625,60546.3515625,46905.66796875,67290.203125
156.0,49562.96875,60140.73828125,46763.88671875,67613.8671875
157.0,49598.328125,60171.60546875,46875.65625,67398.4296875
158.0,49695.61328125,60243.1640625,46795.140625,67525.78125
159.0,49606.51171875,60290.99609375,46897.23046875,68987.9296875
160.0,49561.9609375,60196.60546875,46846.296875,68297.515625
161.0,49791.88671875,60089.20703125,46737.2578125,67820.328125
162.0,49557.30859375,60152.47265625,46865.9765625,67448.4296875
163.0,49557.30859375,60292.3984375,46795.4921875,67502.8359375
164.0,49647.30859375,60449.4140625,46897.15234375,67060.5
165.0,49785.44140625,60192.90625,46757.29296875,67319.0234375
166.0,49881.99609375,60052.34765625,46756.5078125,67609.75
167.0,49948.5703125,62075.05859375,46828.9921875,71637.828125
168.0,49525.53515625,61197.7578125,46768.51171875,67308.4375
169.0,49636.71484375,60102.34765625,46732.76953125,67075.2109375
170.0,49561.9609375,60089.20703125,46763.53515625,69288.9453125
171.0,49583.87109375,60212.55078125,46995.18359375,68661.6171875
172.0,50720.22265625,62141.12890625,46861.21875,67398.578125
173.0,49682.4453125,60657.578125,46747.015625,67789.15625
174.0,49927.1640625,60092.26953125,46746.234375,68987.9296875
175.0,50555.69140625,60062.296875,46999.56640625,67313.2890625
176.0,50045.62890625,60093.1640625,46816.5,67194.03125
177.0,49522.33984375,60816.37890625,46756.5078125,67710.0390625
178.0,49600.01171875,60331.5546875,46848.86328125,69360.5625
179.0,49724.640625,60192.90625,46731.5234375,67361.8125
180.0,49672.30078125,60184.87109375,47090.9765625,67054.765625
181.0,50720.22265625,60141.25,46768.51171875,67656.65625
182.0,49813.796875,60079.515625,47337.546875,67789.15625
183.0,49648.1484375,60443.41796875,46768.51171875,68627.2109375
184.0,49791.55078125,60155.91796875,46796.4140625,68512.0625
185.0,49635.5390625,60330.53515625,46777.109375,67306.0859375
186.0,49523.796875,60976.45703125,46941.2734375,67894.0
187.0,49842.76953125,60046.60546875,46838.15625,67458.7265625
188.0,49615.92578125,60088.0625,46776.2421875,67255.9375
189.0,49667.08984375,60170.83984375,46933.109375,69245.125
190.0,49905.140625,60116.6328125,46741.609375,67325.203125
191.0,49583.87109375,60160.0,46778.02734375,67331.9609375
192.0,49648.765625,60088.0625,47205.52734375,67613.5703125
193.0,49561.9609375,60045.33203125,47042.30859375,69246.7421875
194.0,49709.90234375,60229.1328125,46878.60546875,67136.6796875
195.0,49826.015625,60132.703125,46783.921875,67503.1328125
196.0,49647.30859375,60090.99609375,46747.015625,67039.625
197.0,51110.53125,60152.47265625,46775.02734375,67317.9921875
198.0,49792.78515625,60068.1640625,47056.15234375,67297.40625
