0,1,2
0.0,24454.759765625,34245.984375
1.0,24394.955078125,33885.421875
2.0,25281.55078125,35007.2578125
3.0,24577.544921875,34147.81640625
4.0,41590.921875,41132.96875
5.0,24584.140625,34625.890625
6.0,24540.5859375,34597.55859375
7.0,24440.455078125,34079.37109375
8.0,24758.603515625,34015.0625
9.0,24424.59375,34462.359375
10.0,24584.140625,33857.8359375
11.0,24501.625,34093.79296875
12.0,24755.708984375,34579.3984375
13.0,24464.25,34273.64453125
14.0,24454.759765625,34298.16796875
15.0,24380.7890625,37808.56640625
16.0,24935.126953125,35571.62890625
17.0,24437.3671875,36978.5546875
18.0,24545.095703125,35192.3046875
19.0,24519.158203125,34284.8046875
20.0,24769.958984375,38005.68359375
21.0,24798.818359375,38770.859375
22.0,26550.552734375,36201.0390625
23.0,25088.134765625,34108.25
24.0,24488.240234375,33908.453125
25.0,24456.568359375,34147.81640625
26.0,24584.140625,52077.4921875
27.0,24380.734375,34091.4765625
28.0,24490.21484375,35719.828125
29.0,24495.30859375,35025.34375
30.0,24380.7890625,33828.28125
31.0,26096.650390625,34413.7109375
32.0,24642.193359375,34103.6015625
33.0,24380.76171875,41020.25
34.0,24954.0234375,37012.98046875
35.0,24508.693359375,34728.69140625
36.0,25127.234375,34409.0625
37.0,24755.708984375,33896.765625
38.0,26501.349609375,34010.9765625
39.0,25238.998046875,40171.16796875
40.0,24572.869140625,34876.5078125
41.0,24535.466796875,33857.8359375
42.0,24961.314453125,34233.01953125
43.0,24992.595703125,33857.8359375
44.0,24549.326171875,36522.9453125
45.0,25879.6640625,36674.0078125
46.0,24768.232421875,34041.79296875
47.0,24460.716796875,35214.05859375
48.0,27998.609375,35427.62109375
49.0,24745.607421875,34348.51171875
50.0,24467.005859375,37518.76953125
51.0,24484.17578125,34093.79296875
52.0,24815.9609375,33931.4453125
53.0,24384.072265625,34663.9453125
54.0,24478.416015625,34994.3828125
55.0,24374.193359375,33884.21875
56.0,24699.298828125,41864.77734375
57.0,24361.36328125,36058.52734375
58.0,24563.76953125,36678.73046875
59.0,24384.072265625,37165.8828125
60.0,24364.287109375,33970.9375
61.0,24575.875,38897.6171875
62.0,24985.33203125,36522.9453125
63.0,25079.869140625,34039.09375
64.0,24785.04296875,41133.609375
65.0,24481.421875,34750.48046875
66.0,24457.125,35269.06640625
67.0,26042.48046875,34413.7109375
68.0,25323.990234375,35192.3046875
69.0,24376.169921875,34644.36328125
70.0,24804.271484375,43927.2578125
71.0,24389.91796875,34522.4921875
72.0,24715.830078125,34129.546875
73.0,25121.251953125,37645.0703125
74.0,24496.337890625,34624.890625
75.0,24460.716796875,39322.72265625
76.0,24479.751953125,33901.23046875
77.0,24477.6640625,35328.85546875
78.0,25013.05078125,35224.54296875
79.0,24540.78125,35317.83984375
80.0,24450.029296875,47650.83984375
81.0,24445.158203125,34221.625
82.0,24728.8828125,34221.625
83.0,24508.693359375,34317.4765625
84.0,24866.888671875,34148.67578125
85.0,24551.24609375,34008.8984375
86.0,24458.37890625,33908.9609375
87.0,25165.974609375,41856.75390625
88.0,24425.232421875,34108.25
89.0,24406.05859375,34994.3828125
90.0,24642.193359375,36838.5078125
91.0,24463.025390625,34234.97265625
92.0,30018.998046875,34496.8359375
93.0,24551.216796875,34003.51953125
94.0,24960.451171875,33968.5859375
95.0,25216.123046875,34151.84765625
96.0,24412.876953125,34010.9765625
97.0,26118.984375,34423.08203125
98.0,24720.587890625,33898.4609375
99.0,25116.51953125,34847.60546875
100.0,24382.0703125,33901.23046875
101.0,24425.232421875,40181.48828125
102.0,24632.173828125,34746.61328125
103.0,24549.826171875,34661.8671875
104.0,25492.248046875,34319.046875
105.0,24699.298828125,44537.54296875
106.0,24849.80078125,34953.94140625
107.0,25038.40234375,42204.75390625
108.0,24483.03515625,62727.52734375
109.0,24479.751953125,35571.62890625
110.0,24866.388671875,33959.88671875
111.0,24584.36328125,33959.88671875
112.0,24734.78125,36201.0390625
113.0,26718.2109375,34165.375
114.0,24454.759765625,33931.4453125
115.0,25972.7265625,34663.9453125
116.0,24457.125,34891.9140625
117.0,24625.271484375,34512.0234375
118.0,24392.923828125,34491.203125
119.0,24412.5703125,35039.45703125
120.0,24484.455078125,37773.28515625
121.0,24714.35546875,34644.36328125
122.0,25029.357421875,34655.44921875
123.0,24468.98046875,34847.82421875
124.0,24663.482421875,34209.02734375
125.0,24511.921875,33904.27734375
126.0,24511.671875,43255.4765625
127.0,24424.59375,37604.15234375
128.0,24625.5234375,34237.359375
129.0,24916.8984375,37165.8828125
130.0,24454.759765625,34655.3203125
131.0,24722.591796875,34219.01953125
132.0,24488.240234375,34275.6484375
133.0,25097.150390625,35182.05859375
134.0,24709.845703125,33955.89453125
135.0,24722.591796875,34748.7265625
136.0,24488.240234375,33810.1015625
137.0,24699.298828125,34050.1953125
138.0,24632.98046875,180129.6875
139.0,25465.921875,34469.61328125
140.0,24750.14453125,35808.1875
141.0,24371.548828125,37368.30859375
142.0,24478.416015625,34240.66015625
143.0,24798.818359375,34462.359375
144.0,24730.71875,39172.0078125
145.0,24412.876953125,33898.37109375
146.0,25609.8828125,34254.6640625
147.0,24360.0,34235.7734375
148.0,24874.125,34897.0390625
149.0,25627.9453125,35192.3046875
150.0,24360.0,34275.66796875
151.0,24775.69140625,34348.56640625
152.0,24424.17578125,34315.21484375
153.0,24563.76953125,35912.625
154.0,24545.845703125,34443.54296875
155.0,24416.16015625,36984.20703125
156.0,24626.080078125,34203.4296875
157.0,24430.326171875,37461.00390625
158.0,24722.591796875,37165.8828125
159.0,24845.7109375,34565.39453125
160.0,24734.78125,36966.77734375
161.0,24973.365234375,40442.48046875
162.0,25079.869140625,34849.35546875
163.0,25027.576171875,34500.46484375
164.0,25462.080078125,34408.71484375
165.0,24930.53515625,34752.84765625
166.0,24763.251953125,36001.8203125
167.0,24457.48828125,34655.3203125
168.0,24711.0703125,34009.8671875
169.0,24730.71875,34554.546875
170.0,24484.17578125,34298.16796875
171.0,24496.337890625,34919.09765625
172.0,24798.818359375,35282.99609375
173.0,24424.59375,39385.828125
174.0,24585.365234375,47435.9609375
175.0,24658.4453125,36215.7890625
176.0,25947.818359375,49396.1015625
177.0,24730.71875,34731.80859375
178.0,24505.326171875,34455.95703125
179.0,24430.326171875,35261.13671875
180.0,24380.7890625,33928.96484375
181.0,24715.830078125,35210.6484375
182.0,24711.04296875,42100.67578125
183.0,24535.466796875,34782.55078125
184.0,24365.984375,34610.44921875
185.0,24555.3359375,39167.06640625
186.0,24380.76171875,40883.703125
187.0,24626.080078125,34039.09375
188.0,24484.17578125,35815.48046875
189.0,24536.439453125,35883.0703125
190.0,24745.607421875,33908.9609375
191.0,24741.126953125,34644.36328125
192.0,24745.607421875,34041.79296875
193.0,24380.76171875,35453.53125
194.0,26008.375,34298.84375
195.0,24441.541015625,33982.15234375
196.0,24364.287109375,33987.7109375
197.0,24496.337890625,34885.203125
198.0,28587.359375,35277.2734375
199.0,24694.623046875,36201.0390625
200.0,24468.98046875,34233.01953125
201.0,24707.146484375,34409.0625
202.0,24520.298828125,35156.83984375
203.0,35281.0625,36001.8203125
204.0,24827.6484375,33898.4609375
205.0,24979.265625,34442.046875
206.0,24412.876953125,34015.0625
207.0,24954.9140625,34567.984375
208.0,26214.17578125,34039.09375
209.0,24412.876953125,34522.890625
210.0,24421.169921875,34275.66796875
211.0,24775.69140625,34413.7109375
212.0,24503.12890625,42427.26953125
213.0,25244.203125,35078.12890625
214.0,24380.7890625,34208.00390625
215.0,24508.693359375,33955.89453125
216.0,24546.958984375,36201.0390625
217.0,24720.171875,41020.25
218.0,24720.587890625,34722.7109375
219.0,24508.693359375,34596.390625
220.0,24496.337890625,34041.79296875
221.0,24601.755859375,34810.41015625
222.0,24535.466796875,34039.09375
223.0,24384.072265625,34929.69140625
224.0,24389.02734375,33901.23046875
225.0,24711.0703125,34129.546875
226.0,24873.568359375,33939.25
227.0,24540.837890625,35611.3046875
228.0,24650.59765625,34885.203125
229.0,25214.341796875,33982.15234375
230.0,24866.388671875,33889.19921875
231.0,24545.095703125,36691.30859375
232.0,24973.89453125,34240.66015625
233.0,26581.498046875,33914.99609375
234.0,26010.755859375,34038.2734375
235.0,25308.43359375,34039.09375
236.0,24488.240234375,33993.3828125
237.0,24815.9609375,35276.671875
238.0,24769.958984375,34734.76171875
239.0,24933.373046875,34345.6484375
240.0,25447.470703125,34039.09375
241.0,24714.35546875,33908.9609375
242.0,24692.2578125,37025.5234375
243.0,24758.603515625,34519.375
244.0,24503.12890625,34041.79296875
245.0,24883.447265625,42054.546875
246.0,24752.6484375,33898.37109375
247.0,24592.68359375,39593.77734375
248.0,24431.16015625,35730.421875
249.0,26130.185546875,33898.37109375
250.0,24812.705078125,37273.859375
251.0,26161.48046875,40507.69921875
252.0,24577.48828125,34165.375
253.0,24847.796875,34462.5390625
254.0,25766.92578125,35762.875
255.0,24730.49609375,35092.69921875
256.0,24492.775390625,34254.6640625
257.0,24451.115234375,36494.4453125
258.0,24607.265625,35756.16796875
259.0,26002.11328125,34345.6484375
260.0,24895.302734375,35089.015625
261.0,26188.68359375,34319.046875
262.0,24540.837890625,34219.01953125
263.0,24454.759765625,34221.625
264.0,25234.767578125,34923.1640625
265.0,25642.33203125,34103.6015625
266.0,24707.146484375,38578.95703125
267.0,25015.97265625,35446.2578125
268.0,24384.072265625,33939.55859375
269.0,24378.396484375,33913.17578125
270.0,27636.03125,33901.23046875
271.0,24622.23828125,36314.15625
272.0,24518.099609375,33901.23046875
273.0,24827.12109375,33889.19921875
274.0,24656.88671875,34003.51953125
275.0,24768.232421875,34240.66015625
276.0,26078.896484375,37430.609375
277.0,24380.7890625,53538.40625
278.0,25627.861328125,34500.46484375
279.0,24376.169921875,38649.02734375
280.0,24706.896484375,34156.2578125
281.0,24794.7265625,35719.41015625
282.0,25260.37109375,36999.50390625
283.0,26249.853515625,34203.4296875
284.0,24484.17578125,34103.6015625
285.0,24395.427734375,37810.31640625
286.0,25462.080078125,33905.80859375
287.0,24473.740234375,36201.0390625
288.0,25012.076171875,35668.71875
289.0,24762.22265625,34103.6015625
290.0,24505.326171875,34840.6953125
291.0,24364.287109375,34008.8984375
292.0,24727.15625,33837.87109375
293.0,24484.17578125,35557.953125
294.0,24730.71875,38440.640625
295.0,24714.048828125,34923.1640625
296.0,24379.3984375,34340.1953125
297.0,24866.388671875,34345.6484375
298.0,24396.40234375,33833.05859375
299.0,24930.53515625,33949.93359375
300.0,25356.689453125,35641.97265625
301.0,27265.494140625,34005.70703125
302.0,24794.7265625,34093.79296875
303.0,25348.03515625,35063.359375
304.0,24492.775390625,34629.62890625
305.0,25164.83203125,35055.1015625
306.0,24679.568359375,34746.61328125
307.0,24954.0234375,33840.84375
308.0,24714.35546875,35113.828125
309.0,25734.2265625,33959.88671875
310.0,24970.498046875,35576.8984375
311.0,31186.630859375,34413.7109375
312.0,24508.693359375,36039.6015625
313.0,24483.03515625,38194.58203125
314.0,24484.17578125,34103.6015625
315.0,25587.0625,34298.16796875
316.0,26581.498046875,34455.95703125
317.0,24395.427734375,34413.7109375
318.0,24607.62890625,35781.41796875
319.0,25446.439453125,34610.44921875
320.0,24464.25,35708.8515625
321.0,24661.98046875,47494.34375
322.0,24484.17578125,35343.12890625
323.0,24356.466796875,33888.61328125
324.0,24719.140625,34319.046875
325.0,24380.7890625,34722.7109375
326.0,25490.271484375,38541.70703125
327.0,25084.822265625,34607.45703125
328.0,24405.111328125,34770.75390625
329.0,24511.421875,35214.05859375
330.0,24368.93359375,34790.609375
331.0,24721.478515625,37209.55078125
332.0,24780.310546875,35495.01171875
333.0,24552.21875,33908.453125
334.0,25079.869140625,34724.859375
335.0,24939.2734375,34607.45703125
336.0,24395.427734375,33939.375
337.0,24451.560546875,42427.26953125
338.0,25691.0625,34840.6953125
339.0,26195.61328125,34182.20703125
340.0,27074.0,37651.54296875
341.0,24632.173828125,35286.42578125
342.0,24552.21875,33888.61328125
343.0,24371.548828125,37160.59375
344.0,24429.37890625,34038.2734375
345.0,24463.025390625,37773.046875
346.0,25214.341796875,34804.5390625
347.0,26540.115234375,34041.79296875
348.0,24380.7890625,39167.06640625
349.0,24525.169921875,33908.453125
350.0,24421.169921875,34240.515625
351.0,29778.146484375,35965.7578125
352.0,24484.17578125,35007.2578125
353.0,25700.859375,34607.45703125
354.0,24555.3359375,33898.4609375
355.0,24384.072265625,37000.5625
356.0,24582.943359375,33898.4609375
357.0,24549.380859375,35730.421875
358.0,24416.16015625,36278.67578125
359.0,26134.97265625,34807.4765625
360.0,26721.982421875,34610.44921875
361.0,24545.791015625,34015.0625
362.0,24777.91796875,35494.44921875
363.0,26002.11328125,34443.54296875
364.0,25165.974609375,34348.56640625
365.0,24954.0234375,42323.50390625
366.0,25488.296875,38420.96484375
367.0,24555.3359375,34156.2578125
368.0,25085.15625,37012.98046875
369.0,24837.166015625,34254.6640625
370.0,24380.7890625,34103.6015625
371.0,25236.298828125,34254.6640625
372.0,24642.193359375,34502.32421875
373.0,24498.953125,34275.66796875
374.0,24683.71484375,33905.80859375
375.0,24913.78125,46853.73828125
376.0,24910.775390625,35211.05078125
377.0,24619.873046875,34766.21484375
378.0,24380.7890625,34491.203125
379.0,24743.7421875,34885.203125
380.0,24398.2109375,34108.25
381.0,25081.177734375,34156.2578125
382.0,24546.958984375,34770.75390625
383.0,24458.37890625,35129.19921875
384.0,24441.541015625,34804.5390625
385.0,26501.349609375,35063.359375
386.0,24376.169921875,36450.359375
387.0,24384.240234375,34093.79296875
388.0,24883.447265625,33839.44140625
389.0,25743.048828125,34103.6015625
390.0,24380.7890625,34238.1796875
391.0,40471.14453125,34685.625
392.0,24730.71875,37319.515625
393.0,24404.27734375,35277.2734375
394.0,24812.3984375,36408.38671875
395.0,25079.869140625,37508.13671875
396.0,24694.623046875,35210.6484375
397.0,24755.458984375,37295.06640625
398.0,24940.666015625,34876.5078125
399.0,24498.953125,34240.515625
400.0,24687.75,34260.86328125
401.0,25947.818359375,34203.4296875
402.0,24619.650390625,34003.51953125
403.0,24468.98046875,35080.31640625
404.0,24801.267578125,34769.9140625
405.0,24404.861328125,34489.5625
406.0,24917.259765625,37130.41796875
407.0,24492.775390625,34455.95703125
408.0,24555.3359375,35848.0078125
409.0,24384.072265625,41314.5
410.0,24380.734375,34182.20703125
411.0,24496.337890625,33828.28125
412.0,24852.724609375,34443.54296875
413.0,24960.451171875,35427.62109375
414.0,24385.8828125,34500.46484375
415.0,24451.115234375,34607.66015625
416.0,26897.82421875,38920.48046875
417.0,24824.533203125,33901.23046875
418.0,24437.78515625,34129.546875
419.0,24389.02734375,34203.4296875
420.0,25185.87109375,34804.5390625
421.0,24416.16015625,33939.375
422.0,24719.474609375,34103.6015625
423.0,25012.076171875,34835.15234375
424.0,24555.3359375,34147.81640625
425.0,24699.298828125,33840.38671875
426.0,24398.099609375,36058.52734375
427.0,26118.984375,35427.62109375
428.0,24398.2109375,33877.83984375
429.0,25355.85546875,34713.4296875
430.0,26360.53125,33970.9375
431.0,24463.025390625,34766.21484375
432.0,24723.927734375,36124.0390625
433.0,24608.3515625,34010.9765625
434.0,24371.548828125,34746.61328125
435.0,24488.240234375,34409.0625
436.0,26501.349609375,34790.609375
437.0,24361.36328125,34039.09375
438.0,25743.048828125,33940.59765625
439.0,24847.130859375,34156.2578125
440.0,24673.25,34109.58203125
441.0,24383.7109375,34129.546875
442.0,24760.107421875,33987.7109375
443.0,24384.40625,35089.015625
